ResourceARN,Region,TaggingMethod,TagsApplied,Status
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-ebvv8t,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-bm6xxs,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-ockyny,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-fqswkr,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-iaxb2a,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-6yucdy,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-tukm8k,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-bciy7j,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-jmzivp,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-cobe2u,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-8awnlo,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-5ho8j8,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-6jdupg,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-gqhq0t,us-east-2,-,-,NO_MATCH
